id_mo,succession
100421,100750
100700,104100
100750,100821
100821,100422
100900,115100
101101,116030
101460,107310
101470,105850
101900,102500
102700,101800
103701,112700
103702,110831
104100,104200
106400,106500
106670,100103
106750,101250
106751,101251
106850,104830
106851,104831
106930,108370
107110,106930
108100,102200
108200,102000
108350,103701
108480,111480
109001,116040
109172,109173
109800,109500
110100,114300
110601,108100
110700,108200
110831,106850
111700,109800
111800,105700
111920,107020
112300,101900
112750,107250
116030,101102
116040,116050
116050,116060
116060,116070
116070,109002
119090,116080
120320,120160
123190,140210
123190,120180
123330,140350
123710,120700
130070,130122
130071,130072
130111,130310
130121,131100
130310,130112
130340,130180
130460,130962
130480,130111
130951,130952
130952,130953
130961,131030
131030,130460
131100,130070
140022,140300
140300,140400
140350,140180
144500,107110
150070,150912
150282,150530
150361,156370
150362,150180
150491,150492
150492,150493
150530,152280
150560,150290
150571,150572
150572,150775
150660,150680
150700,150630
150710,150630
150771,150772
150772,150773
150774,150571
150790,150010
150880,150361
151280,150282
151281,151282
151282,151283
156370,150362
160020,150771
160061,160641
160380,160200
160520,160780
160600,160740
160631,160632
160632,160633
160633,160910
160641,160642
160642,160520
160662,160665
160740,181610
170008,170070
170070,170420
170390,170220
170621,170622
170680,170720
170811,170812
171041,171042
171042,171043
180031,180830
180061,180480
180400,180200
180430,189931
180480,180062
180830,180032
180851,180451
180860,180430
180971,180120
180972,180031
186010,186020
186030,186040
189931,180920
189931,190940
190040,190980
190123,191990
190410,190200
190820,190440
191000,190820
191020,190040
191990,191980
604100,604101
611201,601201
653280,650911
670151,170152
670631,670632
681832,683830
690121,690122
690122,690123
300011,300012
300012,300013
300021,300022
300030,300040
300030,300050
300049,300050
300200,300210
300220,300231
300231,300232
300232,300233
300251,300252
300270,300271
300280,300281
300290,300291
300310,300320
300391,300392
300400,300401
300570,300571
300581,300582
300700,300710
300743,303743
300747,301747
300750,300760
300760,300770
300760,300970
300822,300820
301746,300746
302744,300744
350010,350011
350020,350021
450551,450552
460621,460622
480871,480872
200035,200036
200051,200052
200052,200053
109173,116120
174001,196001
151001,113101
130348,130188
670560,670561
101202,106751
101200,106750
150530,150531
107250,104851
112750,612750
107210,607211
140140,140141
104602,104603
101153,101154
101152,101153
101151,101152
101150,101151
104500,105600
104600,104700
100103,110700
101154,101155
100200,106000
