id_mo,new_sector
101380,601380
105700,605700
109002,609002
116110,616112
150741,650741
150911,650912
153280,653280
160231,660231
160661,660661
170623,670623
170631,670631
190121,690124
190122,690125
601201,101201
609001,109001
609791,109791
616111,116110
650741,150742
650911,150911
660020,160020
660231,160232
660600,160600
660652,160653
660661,160662
666010,166010
670331,170331
670621,170621
670632,170632
670680,170680
676030,176030
680061,180061
680971,180971
681831,181830
683830,183830
690123,190121
690124,190122
690125,190123
200081,200082
616120,116120
170560,670560
670559,170560
670300,170300
651283,151283
181830,681832
189060,681833
109793,109794
630480,130480
641041,171041
