id_mo,umbrella,start_rel,end_rel
101251,101250,1989-12-12,1991-10-31
103681,103680,2004-09-06,9999-01-01
103682,103680,2006-06-12,2007-07-06
103683,103680,2006-08-28,9999-01-01
103684,103680,2006-05-15,9999-01-01
104831,104830,2000-11-02,9999-01-01
104851,104850,1959-06-15,9999-01-01
106751,106750,1987-06-03,1989-12-11
106851,106850,1972-09-01,2000-10-31
108241,108240,2006-09-01,9999-01-01
108251,108250,2018-08-29,9999-01-01
110081,110080,1993-02-01,1999-01-03
111481,111480,1957-02-21,1991-03-03
120160,104830,2000-11-02,9999-01-01
120180,104850,1978-03-01,9999-01-01
120320,106850,1986-04-06,2000-10-31
120730,110080,1993-06-04,1999-01-03
123190,104850,1973-10-02,1978-02-28
123330,106850,1977-11-18,1986-04-05
130152,170150,1948-10-31,9999-01-01
130180,104830,2000-11-02,9999-01-01
130200,104850,1991-01-12,1993-04-19
130340,106850,1983-11-06,2000-10-31
138250,108250,2018-08-29,2019-11-29
140180,104830,2000-11-02,9999-01-01
140210,104850,1978-03-01,9999-01-01
140300,106750,1985-10-16,1989-12-11
140350,106850,1986-04-06,2000-10-31
140400,101250,1989-12-12,1991-10-31
140740,110080,1992-08-11,1999-01-03
150180,104830,2000-11-02,9999-01-01
150220,104850,1992-08-29,9999-01-01
150270,104850,1961-11-18,1962-03-03
150361,106850,1972-09-01,1974-08-31
150362,106850,1974-12-31,2000-10-31
150493,108480,1946-01-04,1957-02-20
150493,111480,1957-02-21,2001-04-29
150572,106750,1987-06-02,1989-12-11
150750,110080,1992-09-15,1999-01-03
150775,101250,1989-12-12,1991-10-31
156370,106850,1974-09-01,1974-12-30
158240,108240,2006-09-01,9999-01-01
158250,108250,2018-08-29,9999-01-01
160200,104830,2000-11-02,9999-01-01
160231,104850,1976-06-01,1977-09-10
160232,104850,1992-08-29,1993-04-19
160380,106850,1975-01-01,2000-10-31
160520,106750,1985-10-16,1989-12-11
160621,160629,1989-03-01,9999-01-01
160633,111480,1957-07-02,1963-12-31
160780,101250,1989-12-12,1990-10-20
160910,111480,1964-01-01,1975-10-31
168240,108240,2007-03-04,2021-12-31
170152,170150,1948-10-01,9999-01-01
170220,104830,2000-11-02,9999-01-01
170240,104850,1987-04-03,1993-04-19
170390,106850,1972-10-01,2000-10-21
170760,110080,1992-10-11,1999-01-03
171043,111480,1971-02-02,1989-12-31
178250,108250,2018-08-29,2021-12-31
180200,104830,2000-11-02,9999-01-01
180251,104850,1976-06-01,1977-09-10
180252,104850,1983-11-11,2012-12-31
180400,106850,1992-09-13,2000-10-31
180870,182870,2008-05-15,9999-01-01
180920,111480,1957-07-03,1963-05-31
189931,111480,1957-02-21,1957-07-02
190200,104830,2000-11-02,9999-01-01
190260,104850,1983-11-11,1993-04-19
190410,106850,1988-03-06,2000-10-31
190940,111480,1957-07-03,1960-11-30
119850,109850,1988-10-19,9999-01-01
300770,104850,2023-02-01,9999-01-01
300520,200500,2012-01-01,9999-01-01
300012,300010,1961-09-11,1992-10-25
300013,300010,1992-10-26,9999-01-01
300021,300010,1961-09-11,1992-10-25
300022,300010,1992-10-26,9999-01-01
300030,300010,1997-10-01,2011-10-25
300040,300010,2011-10-26,9999-01-01
300049,300010,2006-05-01,2011-10-25
300050,300010,2011-10-26,9999-01-01
300600,300520,2012-01-01,9999-01-01
300741,300740,2005-03-10,9999-01-01
300742,300740,1999-01-01,9999-01-01
300743,300740,2001-01-01,2022-11-01
300744,300740,2001-01-01,9999-01-01
300745,300740,2009-11-04,9999-01-01
300746,300740,2011-01-01,9999-01-01
300760,300740,2011-01-01,9999-01-01
300970,300740,2012-02-01,2023-02-01
301747,300740,2014-01-02,9999-01-01
303743,300740,2022-11-01,9999-01-01
390982,300740,2007-01-01,9999-01-01
300010,923400,1961-09-11,9999-01-01
300011,923400,1955-08-01,1961-09-10
409851,409850,1995-02-02,9999-01-01
409852,409850,2000-01-01,9999-01-01
409853,409850,2010-01-01,9999-01-01
409854,409850,1998-01-01,9999-01-01
400013,923400,1997-07-24,9999-01-01
200018,923400,1967-10-01,9999-01-01
200020,200018,1967-10-01,9999-01-01
200035,200018,1967-10-01,1990-05-01
200036,200018,1990-05-02,9999-01-01
200041,200018,1967-10-01,9999-01-01
200051,200018,1955-01-01,1985-12-31
200052,200018,1985-01-01,2003-06-30
200060,200018,1979-08-23,2000-01-31
200070,200018,1995-01-16,9999-01-01
200081,200018,1997-03-21,2008-12-31
200135,200036,1990-05-02,9999-01-01
200235,200036,1990-05-02,9999-01-01
200335,200036,1990-05-02,9999-01-01
200435,200036,1990-05-02,9999-01-01
200535,200036,1990-05-02,9999-01-01
200635,200036,1990-05-02,9999-01-01
200735,200036,1990-05-02,9999-01-01
200835,200036,1990-05-02,9999-01-01
200935,200036,1990-05-02,9999-01-01
400161,400160,1999-01-01,9999-01-01
400162,400160,1999-01-01,9999-01-01
400181,400180,1997-01-01,9999-01-01
400182,400180,1997-01-01,9999-01-01
400371,400370,1998-01-01,9999-01-01
400372,400370,1998-01-01,9999-01-01
400373,400370,1998-01-01,9999-01-01
400374,400370,1998-01-01,9999-01-01
400375,400370,1998-01-01,9999-01-01
400376,400370,1998-01-01,9999-01-01
400377,400370,1998-01-01,9999-01-01
400378,400370,1998-01-01,9999-01-01
400379,400370,1998-01-01,9999-01-01
101202,101200,1948-04-01,1985-10-15
140021,101200,1948-04-01,1948-06-04
140022,101200,1957-01-03,1985-10-15
160642,101200,1984-09-01,1985-10-15
180031,101200,1957-03-01,1962-01-31
180032,101200,1968-04-03,1971-06-30
190040,101200,1957-03-01,1962-01-31
190980,101200,1962-02-01,1968-04-02
108480,108481,1945-08-05,1957-02-20
160620,160629,1989-03-01,9999-01-01
140901,108481,1948-05-05,1948-05-05
140901,111480,1957-02-21,1967-05-07
130953,111480,1971-02-02,1989-12-31
108240,108259,2018-08-29,0999-09-09
108250,108259,2018-08-29,0999-09-09
